Temp	date	dt	vW	dW	method	ef	aer	wd	lg_aer	lg_ef	season1	season2	season3	h	t	season4
	26MAR2017	26MAR2017:01:00:00			1			N			T	W	T	1	3481	2
	26MAR2017	26MAR2017:01:00:00			4			N			T	W	T	1	3481	2
-4.25	07JAN2017	07JAN2017:00:00:00	3.13102979	171.458493	1	0.6881032	869.80778462	S	6.76827225	-0.373816452	W	W	W	0	1608	3
-4.25	07JAN2017	07JAN2017:00:00:00	3.13102979	171.458493	4	0.89457254	1066.1815692	S	6.9718389178	-0.111409284	W	W	W	0	1608	3
-4.25	07JAN2017	07JAN2017:01:00:00	3.06784737	170.816279	1	0.91522026	978.91430769	S	6.8864441083	-0.088590521	W	W	W	1	1609	3
-4.25	07JAN2017	07JAN2017:01:00:00	3.06784737	170.816279	4	0.822711019	903.12396923	S	6.80585983	-0.195150271	W	W	W	1	1609	3
-4.16666667	06JAN2017	06JAN2017:07:00:00	0.23230497	265.334562	1	0.98913642	764.09276538	W	6.6386892025	-0.01092302	W	W	W	7	1591	3
-4.16666667	06JAN2017	06JAN2017:07:00:00	0.23230497	265.334562	4	0.951644932	640.27552769	W	6.4618985957	-0.049563284	W	W	W	7	1591	3
-4.16666667	06JAN2017	06JAN2017:23:00:00	2.79397334	167.170282	1	0.91377973	907.56112308	S	6.8107609171	-0.090165732	W	W	W	23	1607	3
-4.16666667	06JAN2017	06JAN2017:23:00:00	2.79397334	167.170282	4	1.00835991	1078.5359308	S	6.9833597808	0.0083251595	W	W	W	23	1607	3
-3.83333333	07JAN2017	07JAN2017:02:00:00	3.00487062	169.241061	1	0.89114468	953.1632	S	6.8597861377	-0.115248485	W	W	W	2	1610	3
-3.83333333	07JAN2017	07JAN2017:02:00:00	3.00487062	169.241061	4	0.787977349	939.13784615	S	6.8449622694	-0.238285934	W	W	W	2	1610	3
-3.75	06JAN2017	06JAN2017:08:00:00	0.448246177	291.104008	1	1.02201219	1093.1383231	W	6.9968080338	0.0217734193	W	W	W	8	1592	3
-3.75	06JAN2017	06JAN2017:08:00:00	0.448246177	291.104008	4	1.03501174	713.63074615	W	6.5703656663	0.0344127696	W	W	W	8	1592	3
-3.66666667	06JAN2017	06JAN2017:22:00:00	2.6948198	164.172907	1	1.22340928	1000.6570231	S	6.9084120863	0.2016414532	W	W	W	22	1606	3
-3.66666667	06JAN2017	06JAN2017:22:00:00	2.6948198	164.172907	4	1.21831093	1069.9123077	S	6.9753319687	0.1974654159	W	W	W	22	1606	3
-3.66666667	13FEB2017	13FEB2017:08:00:00	1.77556504	111.289608	1	1.24540797	721.54396231	E	6.5813933082	0.219463163	W	W	W	8	2504	3
-3.66666667	13FEB2017	13FEB2017:08:00:00	1.77556504	111.289608	4	0.969363934	777.61954615	E	6.6562373893	-0.031115161	W	W	W	8	2504	3
-3.58333333	06JAN2017	06JAN2017:02:00:00	0.087300664	80.3920589	1	0.56793874	607.46399923	E	6.4092929129	-0.565741718	W	W	W	2	1586	3
-3.58333333	06JAN2017	06JAN2017:02:00:00	0.087300664	80.3920589	4	0.921535226	523.00790769	E	6.2595965838	-0.081714276	W	W	W	2	1586	3
-3.58333333	10FEB2017	10FEB2017:01:00:00	0.175983394	63.987936	1	0.83826363	401.92500538	E	5.9962655174	-0.176422634	W	W	W	1	2425	3
-3.58333333	10FEB2017	10FEB2017:01:00:00	0.175983394	63.987936	4	0.791223383	550.08717077	E	6.310076758	-0.234174945	W	W	W	1	2425	3
-3.5	09FEB2017	09FEB2017:23:00:00	0.470599453	99.093522	1	1.11587034	517.19566538	E	6.2484212659	0.1096346744	W	W	W	23	2423	3
-3.5	09FEB2017	09FEB2017:23:00:00	0.470599453	99.093522	4	0.838284446	592.68379	E	6.384661019	-0.176397802	W	W	W	23	2423	3
-3.5	10FEB2017	10FEB2017:00:00:00	0.226385922	76.1283766	1	1.31475427	609.37654615	E	6.412436379	0.2736497812	W	W	W	0	2424	3
-3.5	10FEB2017	10FEB2017:00:00:00	0.226385922	76.1283766	4	0.893020485	605.71727385	E	6.4064133324	-0.113145759	W	W	W	0	2424	3
-3.5	14FEB2017	14FEB2017:09:00:00	1.67588137	138.7301	1	0.76267332	883.73022308	E	6.7841518385	-0.270925491	W	W	W	9	2529	3
-3.5	14FEB2017	14FEB2017:09:00:00	1.67588137	138.7301	4	0.750805738	1026.8603769	E	6.9342612483	-0.286608332	W	W	W	9	2529	3
-3.41666667	06JAN2017	06JAN2017:03:00:00	0.136618649	222.045542	1	0.77601134	449.59267462	S	6.1083420053	-0.253588146	W	W	W	3	1587	3
-3.41666667	06JAN2017	06JAN2017:03:00:00	0.136618649	222.045542	4	0.782199904	472.88149692	S	6.1588448221	-0.245644939	W	W	W	3	1587	3
-3.41666667	06JAN2017	06JAN2017:06:00:00	0.150348592	278.236184	1	1.22431125	709.32129385	W	6.5643085887	0.202378441	W	W	W	6	1590	3
-3.41666667	06JAN2017	06JAN2017:06:00:00	0.150348592	278.236184	4	0.967177787	672.41704923	W	6.510878757	-0.033372946	W	W	W	6	1590	3
-3.41666667	06JAN2017	06JAN2017:21:00:00	2.40355967	164.758938	1	1.00658589	666.49047	S	6.5020258409	0.0065642978	W	W	W	21	1605	3
-3.41666667	06JAN2017	06JAN2017:21:00:00	2.40355967	164.758938	4	1.00508852	722.86962154	S	6.5832288761	0.0050756172	W	W	W	21	1605	3
-3.41666667	09FEB2017	09FEB2017:21:00:00	0.89757318	103.250941	1	1.06091705	491.72532154	E	6.197920271	0.0591336756	W	W	W	21	2421	3
